initial_list_status	purpose	int_rate	installment	annual_inc	dti	verification_status	grade	revol_bal	inq_last_12m	delinq_2yrs	home_ownership	not_paid	log_inc	verified	grdCtoA
w	home_improvement	7.21	130.09	31000	0.97	Verified	A	173	1	0	MORTGAGE	0	10.34174248	1	1
w	debt_consolidation	18.06	289.47	65000	12.74	Source Verified	D	13362	2	0	MORTGAGE	1	11.08214255	1	0
w	debt_consolidation	15.05	1214.15	90000	24.55	Verified	C	10387	4	0	MORTGAGE	1	11.40756495	1	0
w	debt_consolidation	19.03	778.72	200000	14.53	Verified	D	6851	2	0	MORTGAGE	1	12.20607265	1	0
w	credit_card	14.08	513.25	40000	9.6	Source Verified	C	11700	0	0	RENT	1	10.59663473	1	0
f	credit_card	19.03	88.02	38000	31.93	Not Verified	D	1844	4	0	RENT	0	10.54534144	0	0
w	debt_consolidation	10.91	1144.37	135000	15.53	Verified	B	19090	1	0	RENT	0	11.81303006	1	1
w	major_purchase	15.05	476.33	109992	10	Not Verified	C	2284	3	0	MORTGAGE	0	11.60816291	0	0
w	debt_consolidation	26.3	903.55	75000	16.4	Source Verified	E	6541	5	0	MORTGAGE	0	11.22524339	1	0
w	debt_consolidation	20	929.09	130000	28.84	Verified	D	16305	7	0	MORTGAGE	1	11.77528973	1	0
w	major_purchase	18.06	542.74	185000	22.36	Verified	D	8396	1	0	MORTGAGE	0	12.1281111	1	0
w	debt_consolidation	9.44	640.1	80000	9.63	Source Verified	B	11222	1	0	RENT	0	11.28978191	1	1
w	debt_consolidation	7.07	432.73	40000	30.78	Not Verified	A	21363	1	0	MORTGAGE	1	10.59663473	0	1
w	debt_consolidation	11.99	889.58	200000	13.01	Source Verified	B	10763	0	0	RENT	1	12.20607265	1	1
w	debt_consolidation	13.59	237.86	72000	22.22	Source Verified	C	13938	5	0	MORTGAGE	0	11.1844214	1	0
f	debt_consolidation	26.3	318.55	42500	31.8	Verified	E	8176	5	0	MORTGAGE	1	10.65725935	1	0
w	debt_consolidation	13.59	679.58	46000	15.86	Not Verified	C	24169	1	0	RENT	1	10.73639668	0	0
w	debt_consolidation	24.85	293.37	150000	29.75	Verified	E	10292	3	2	MORTGAGE	1	11.91839057	1	0
f	small_business	16.02	175.84	23000	5.43	Source Verified	C	9	2	0	RENT	1	10.04324949	1	0
w	credit_card	9.44	320.05	175000	15.13	Not Verified	B	21326	7	0	MORTGAGE	0	12.07254125	0	1
w	debt_consolidation	19.03	366.72	30000	15.04	Verified	D	12812	0	0	MORTGAGE	1	10.30895266	1	0
w	debt_consolidation	17.09	498.02	100292	9.17	Source Verified	D	18081	0	0	MORTGAGE	1	11.51584121	1	0
w	debt_consolidation	10.42	584.37	58000	14.73	Verified	B	13587	1	0	RENT	0	10.96819829	1	1
f	credit_card	10.42	259.72	81000	19.79	Not Verified	B	11865	2	0	RENT	0	11.30220443	0	1
w	credit_card	20	371.64	81507	12.43	Not Verified	D	8564	2	0	RENT	1	11.30844419	0	0
w	debt_consolidation	20	503.39	45000	27.36	Verified	D	12392	1	0	RENT	0	10.71441777	1	0
f	credit_card	16.02	509.93	105000	14.53	Verified	C	11097	6	0	MORTGAGE	1	11.56171563	1	0
f	small_business	26.3	344.85	60000	10.76	Source Verified	E	1459	8	0	RENT	1	11.00209984	1	0
f	home_improvement	9.93	580.22	40000	18.66	Verified	B	9952	0	0	MORTGAGE	1	10.59663473	1	1
f	debt_consolidation	7.97	131.56	14400	5.17	Verified	A	1417	0	0	OWN	1	9.574983486	1	1
w	major_purchase	12.62	676.78	117963	1.56	Source Verified	C	393	0	0	MORTGAGE	1	11.67812629	1	0
w	credit_card	17.09	428.38	120000	17.56	Source Verified	D	33911	1	0	OWN	1	11.69524702	1	0
f	credit_card	12.62	335.12	77000	13.86	Not Verified	C	15743	1	0	RENT	0	11.2515607	0	0
w	credit_card	20	1059.76	85000	24.79	Not Verified	D	33710	0	0	MORTGAGE	0	11.35040654	0	0
w	debt_consolidation	10.91	1144.37	133000	1.75	Verified	B	1425	2	0	OWN	1	11.79810441	1	1
f	debt_consolidation	12.62	335.12	75000	20.05	Source Verified	C	12974	0	1	RENT	1	11.22524339	1	0
f	debt_consolidation	14.08	479.04	61000	25.48	Not Verified	C	20632	3	0	RENT	1	11.01862914	0	0
w	debt_consolidation	22.91	505.8	99840	24.86	Verified	E	19105	2	0	RENT	0	11.51132418	1	0
w	major_purchase	10.42	493.45	230000	1.77	Not Verified	B	1456	1	0	MORTGAGE	0	12.34583459	0	1
f	credit_card	9.44	640.1	82000	13.07	Source Verified	B	22580	0	0	RENT	0	11.31447453	1	1
w	debt_consolidation	21.45	873.83	30000	70.2	Not Verified	D	15746	3	0	RENT	1	10.30895266	0	0
f	debt_consolidation	20	312.18	117000	8.44	Source Verified	D	17875	3	0	RENT	1	11.66992921	1	0
w	home_improvement	11.99	344.72	75000	4.53	Verified	B	2124	8	0	MORTGAGE	1	11.22524339	1	1
f	credit_card	9.44	64.01	20000	1.69	Verified	B	854	3	0	OWN	0	9.903487553	1	1
f	debt_consolidation	10.91	1307.85	87000	12.26	Not Verified	B	45079	2	1	OWN	0	11.3736634	0	1
w	debt_consolidation	7.97	1096.29	135000	3.92	Source Verified	A	8159	2	0	RENT	0	11.81303006	1	1
w	credit_card	10.91	1046.28	150000	23.26	Source Verified	B	26224	2	0	MORTGAGE	1	11.91839057	1	1
w	home_improvement	9.44	640.1	54000	15.18	Source Verified	B	2501	5	1	OWN	1	10.89673933	1	1
w	debt_consolidation	10.91	653.93	115000	19.02	Not Verified	B	31777	0	0	RENT	1	11.65268741	0	1
w	debt_consolidation	9.44	320.05	90000	9.21	Source Verified	B	14174	1	0	OWN	1	11.40756495	1	1
f	debt_consolidation	14.08	335.33	37000	13.2	Not Verified	C	373	1	0	RENT	0	10.51867319	0	0
w	debt_consolidation	10.42	324.65	84492	32.68	Verified	B	23970	2	0	MORTGAGE	0	11.34441213	1	1
w	debt_consolidation	15.05	277.52	35000	33.71	Source Verified	C	23224	1	0	RENT	1	10.46310334	1	0
f	debt_consolidation	9.93	267.55	84000	6.4	Source Verified	B	2105	2	0	MORTGAGE	0	11.33857208	1	1
f	debt_consolidation	7.21	1238.93	129996	6.55	Source Verified	A	31614	3	0	RENT	1	11.77525896	1	1
w	debt_consolidation	28.72	505.15	30000	40.42	Verified	F	9665	3	3	MORTGAGE	1	10.30895266	1	0
w	debt_consolidation	25.82	447.51	65000	29.73	Verified	E	11415	1	0	MORTGAGE	1	11.08214255	1	0
w	credit_card	20	317.93	48000	33.25	Source Verified	D	39867	2	0	OWN	0	10.77895629	1	0
w	home_improvement	11.99	778.38	191000	5.86	Verified	B	3720	3	0	MORTGAGE	0	12.16002871	1	1
w	debt_consolidation	23.88	587.55	12000	69.9	Source Verified	E	7154	1	0	RENT	1	9.392661929	1	0
w	home_improvement	14.08	205.3	180000	17.1	Source Verified	C	85294	2	0	MORTGAGE	0	12.10071213	1	0
f	home_improvement	15.05	270.59	113000	17.35	Not Verified	C	6840	6	0	MORTGAGE	0	11.6351431	0	0
w	debt_consolidation	10.42	324.65	89161	13.19	Source Verified	B	20545	2	3	MORTGAGE	1	11.398199	1	1
w	debt_consolidation	30.79	155.46	24960	18.94	Not Verified	G	3278	1	1	RENT	0	10.12502982	0	0
w	debt_consolidation	17.09	535.47	35000	30.45	Source Verified	D	11062	0	1	MORTGAGE	0	10.46310334	1	0
w	credit_card	12.62	167.56	15528	11.13	Not Verified	C	3792	1	0	RENT	0	9.650400125	0	0
w	debt_consolidation	16.02	175.84	55000	35.57	Source Verified	C	15959	0	0	RENT	1	10.91508846	1	0
f	credit_card	13.59	570.85	14500	72.1	Verified	C	26585	0	0	MORTGAGE	1	9.581903928	1	0
w	credit_card	15.05	476.33	72000	24.54	Not Verified	C	22743	0	0	MORTGAGE	1	11.1844214	0	0
w	credit_card	10.42	162.33	66000	21.4	Not Verified	B	3376	0	0	RENT	0	11.09741002	0	1
w	major_purchase	14.08	342.17	65000	2.22	Verified	C	1409	10	0	MORTGAGE	0	11.08214255	1	0
w	debt_consolidation	18.06	661.08	33000	15.93	Verified	D	10289	8	0	OWN	0	10.40426284	1	0
f	debt_consolidation	19.03	733.43	50000	24.17	Verified	D	23900	2	0	MORTGAGE	1	10.81977828	1	0
w	major_purchase	14.08	559.44	38500	26.31	Verified	C	1010	2	0	RENT	1	10.55841352	1	0
w	credit_card	21.45	819.22	85000	15.59	Source Verified	D	33863	0	1	RENT	0	11.35040654	1	0
w	debt_consolidation	15.05	1040.7	140000	14.47	Not Verified	C	11143	3	6	OWN	1	11.8493977	0	0
w	home_improvement	7.21	247.79	12000	163.15	Source Verified	A	27398	0	0	MORTGAGE	0	9.392661929	1	1
w	major_purchase	7.35	248.3	78000	23.52	Not Verified	A	33202	4	0	RENT	0	11.26446411	0	1
f	debt_consolidation	14.08	1197.58	202000	17.85	Source Verified	C	61268	3	0	MORTGAGE	1	12.21602298	1	0
w	credit_card	7.97	150.35	31500	6.11	Not Verified	A	6563	1	0	RENT	0	10.35774282	0	1
w	debt_consolidation	12.62	73.73	18000	21.53	Verified	C	6766	2	0	RENT	1	9.798127037	1	0
w	debt_consolidation	19.03	622.97	123000	13.86	Source Verified	D	6528	4	0	RENT	0	11.71993963	1	0
w	debt_consolidation	14.08	155.69	60000	32.16	Verified	C	3104	2	0	MORTGAGE	0	11.00209984	1	0
w	debt_consolidation	20	847.81	80000	16.61	Verified	D	9536	3	1	MORTGAGE	1	11.28978191	1	0
w	credit_card	14.08	1231.8	96000	27.01	Not Verified	C	15344	2	0	RENT	1	11.47210347	0	0
w	debt_consolidation	7.97	626.46	47000	9.01	Verified	A	1278	0	0	OWN	1	10.75790288	1	1
w	debt_consolidation	12.62	502.67	30000	60.08	Verified	C	8230	2	0	RENT	1	10.30895266	1	0
w	credit_card	5.32	90.35	58000	10.08	Not Verified	A	7537	0	0	RENT	1	10.96819829	0	1
w	debt_consolidation	9.93	636.38	104000	10.42	Verified	B	14208	0	0	RENT	0	11.55214618	1	1
f	credit_card	7.35	68.29	41500	9.31	Not Verified	A	3473	1	0	RENT	0	10.63344871	0	1
f	home_improvement	13.59	169.9	65000	13.35	Source Verified	C	3526	4	0	OWN	1	11.08214255	1	0
w	debt_consolidation	7.35	279.34	41000	28.45	Not Verified	A	2985	3	0	MORTGAGE	0	10.62132735	0	1
w	credit_card	12.62	338.39	60000	26.46	Not Verified	C	11919	1	1	RENT	1	11.00209984	0	0
w	debt_consolidation	6.72	184.5	65000	14.77	Not Verified	A	7655	0	0	RENT	0	11.08214255	0	1
w	debt_consolidation	21.45	361.82	50000	0.65	Source Verified	D	200	0	0	OWN	1	10.81977828	1	0
w	home_improvement	7.21	309.74	72000	22.88	Not Verified	A	5381	3	0	MORTGAGE	0	11.1844214	0	1
w	credit_card	9.44	307.25	45000	19.24	Source Verified	B	10122	0	0	RENT	1	10.71441777	1	1
w	home_improvement	9.44	346.05	135000	16.3	Source Verified	B	5845	2	0	MORTGAGE	0	11.81303006	1	1
f	debt_consolidation	22.91	1353.2	127000	19.47	Verified	E	18124	5	2	MORTGAGE	1	11.75194237	1	0
w	debt_consolidation	21.45	491.53	37000	30.68	Verified	D	19032	1	0	RENT	1	10.51867319	1	0
w	debt_consolidation	24.85	731.59	400000	6.09	Not Verified	E	15200	3	2	MORTGAGE	0	12.89921983	0	0
w	debt_consolidation	19.03	648.93	63000	16.31	Source Verified	D	17849	3	1	MORTGAGE	1	11.05089001	1	0
w	home_improvement	9.44	160.03	125000	10.96	Not Verified	B	12106	6	0	MORTGAGE	1	11.73606902	0	1
w	credit_card	14.08	279.72	40000	11.26	Not Verified	C	10291	3	0	RENT	0	10.59663473	0	0
w	debt_consolidation	14.08	410.6	45000	11.76	Verified	C	10078	2	0	RENT	0	10.71441777	1	0
f	debt_consolidation	19.03	916.78	22000	78.51	Source Verified	D	16186	4	0	MORTGAGE	1	9.998797732	1	0
w	debt_consolidation	16.02	1230.85	97000	13.87	Verified	C	17447	8	4	MORTGAGE	0	11.48246626	1	0
w	home_improvement	9.93	41.91	57000	25.75	Source Verified	B	578	3	0	MORTGAGE	0	10.95080655	1	1
w	credit_card	7.07	340.01	74000	22.28	Verified	A	7437	0	0	OWN	0	11.21182037	1	1
w	debt_consolidation	15.05	381.06	100000	16.27	Source Verified	C	18173	6	0	MORTGAGE	1	11.51292546	1	0
w	home_improvement	10.91	326.97	28000	32.22	Not Verified	B	22065	1	0	OWN	1	10.23995979	0	1
w	debt_consolidation	19.03	519.15	30000	76.64	Verified	D	19399	1	0	RENT	1	10.30895266	1	0
f	debt_consolidation	9.93	644.69	75000	20.26	Not Verified	B	18594	0	2	MORTGAGE	1	11.22524339	0	1
w	debt_consolidation	23.88	430.48	44870	40.79	Verified	E	3514	2	0	MORTGAGE	0	10.7115247	1	0
f	debt_consolidation	29.69	916.47	70000	21.65	Verified	F	10609	3	0	RENT	1	11.15625052	1	0
w	home_improvement	7.97	720.42	240000	16.45	Source Verified	A	17123	0	0	MORTGAGE	1	12.3883942	1	1
w	major_purchase	19.03	363.4	50000	33.03	Not Verified	D	2075	1	0	RENT	1	10.81977828	0	0
w	debt_consolidation	12.62	603.21	60000	19.4	Source Verified	C	5290	0	4	MORTGAGE	0	11.00209984	1	0
w	credit_card	7.07	108.19	51000	15.44	Not Verified	A	4326	0	0	RENT	0	10.83958091	0	1
f	debt_consolidation	14.08	1026.5	76000	34.29	Source Verified	C	43387	1	0	MORTGAGE	0	11.23848862	1	0
w	debt_consolidation	15.05	346.9	32000	25.81	Not Verified	C	8476	0	0	MORTGAGE	1	10.37349118	0	0
w	credit_card	9.93	161.18	146707	6.9	Source Verified	B	923	5	0	MORTGAGE	0	11.89619268	1	1
f	home_improvement	9.93	709.16	96000	9.95	Verified	B	10838	5	0	OWN	1	11.47210347	1	1
w	debt_consolidation	12.62	134.05	95000	16.75	Not Verified	C	27735	3	0	MORTGAGE	0	11.46163217	0	0
f	credit_card	10.42	227.26	51500	28.04	Not Verified	B	24198	1	0	RENT	0	10.84933709	0	1
w	debt_consolidation	9.44	672.11	65000	22.3	Not Verified	B	25183	1	2	MORTGAGE	1	11.08214255	0	1
w	credit_card	11.99	166.05	27000	37.42	Not Verified	B	11290	1	0	OWN	1	10.20359214	0	1
f	debt_consolidation	7.07	309.1	50000	19.73	Verified	A	9089	3	0	MORTGAGE	1	10.81977828	1	1
w	debt_consolidation	20	264.94	45000	1.33	Not Verified	D	2117	1	1	MORTGAGE	0	10.71441777	0	0
w	debt_consolidation	14.08	376.39	25000	26.74	Source Verified	C	10458	1	0	RENT	1	10.1266311	1	0
w	debt_consolidation	12.62	234.58	32000	32.97	Source Verified	C	16810	0	0	RENT	1	10.37349118	1	0
w	debt_consolidation	9.44	624.9	39058	35.46	Verified	B	12795	0	0	MORTGAGE	1	10.572803	1	1
w	home_improvement	15.05	710.28	46589	16.62	Verified	C	9056	3	0	MORTGAGE	1	10.74911974	1	0
w	debt_consolidation	10.91	588.54	110000	18.84	Source Verified	B	21612	2	1	OWN	1	11.60823564	1	1
w	debt_consolidation	16.02	1230.85	125000	19.6	Not Verified	C	21193	2	0	MORTGAGE	1	11.73606902	0	0
w	debt_consolidation	16.02	267.27	46000	12.42	Source Verified	C	21236	0	0	RENT	0	10.73639668	1	0
w	debt_consolidation	9.44	838.91	90000	11.44	Not Verified	B	13131	1	0	RENT	0	11.40756495	0	1
f	debt_consolidation	16.02	147.71	22000	15.38	Verified	C	256	2	0	MORTGAGE	0	9.998797732	1	0
w	credit_card	14.08	342.17	60000	20.28	Source Verified	C	18518	1	0	RENT	1	11.00209984	1	0
w	home_improvement	15.05	693.8	110000	9.76	Source Verified	C	23429	1	1	MORTGAGE	0	11.60823564	1	0
w	credit_card	7.97	626.46	80000	24.11	Not Verified	A	21187	2	0	MORTGAGE	1	11.28978191	0	1
w	debt_consolidation	28.72	789.3	75000	26.46	Not Verified	F	22549	0	0	MORTGAGE	1	11.22524339	0	0
f	debt_consolidation	25.82	321.56	57900	20.31	Source Verified	E	583	2	3	RENT	0	10.96647266	1	0
w	debt_consolidation	24.85	877.91	30000	37.52	Source Verified	E	13242	2	0	RENT	0	10.30895266	1	0
w	debt_consolidation	11.99	298.89	105000	12.32	Source Verified	B	10331	0	1	MORTGAGE	0	11.56171563	1	1
f	debt_consolidation	7.35	372.45	100000	16.57	Not Verified	A	15188	2	0	MORTGAGE	0	11.51292546	0	1
w	credit_card	7.97	75.18	52000	18.76	Source Verified	A	0	1	0	RENT	0	10.858999	1	1
f	major_purchase	10.91	1307.85	83000	7.15	Verified	B	11054	0	1	RENT	0	11.32659589	1	1
w	debt_consolidation	26.3	391.54	48000	34.85	Verified	E	22126	4	0	MORTGAGE	1	10.77895629	1	0
w	debt_consolidation	16.02	351.67	84000	17.07	Verified	C	9931	8	0	MORTGAGE	0	11.33857208	1	0
w	debt_consolidation	11.99	996.29	146000	4.35	Not Verified	B	9340	2	0	RENT	0	11.8913619	0	1
w	debt_consolidation	7.35	186.23	120000	11.2	Source Verified	A	1039	0	0	MORTGAGE	0	11.69524702	1	1
w	debt_consolidation	22.91	193.32	65000	12.41	Not Verified	E	6621	3	0	RENT	1	11.08214255	0	0
w	debt_consolidation	16.02	140.67	50000	18.48	Source Verified	C	8245	2	0	RENT	0	10.81977828	1	0
f	debt_consolidation	20	297.31	63000	24.52	Not Verified	D	21620	1	0	RENT	1	11.05089001	0	0
f	debt_consolidation	9.93	145.06	21600	11.39	Source Verified	B	5357	0	0	RENT	0	9.980448594	1	1
w	debt_consolidation	30.84	1150.5	280000	11.63	Verified	G	95357	3	0	RENT	1	12.54254488	1	0
f	credit_card	18.06	108.55	75000	18.2	Source Verified	D	12098	3	1	MORTGAGE	1	11.22524339	1	0
w	debt_consolidation	16.02	330.88	65000	21.68	Source Verified	C	14078	9	0	RENT	0	11.08214255	1	0
w	debt_consolidation	11.99	566	50918	34.34	Not Verified	B	13181	0	0	MORTGAGE	0	10.83797177	0	1
w	debt_consolidation	9.93	257.88	85000	28.35	Not Verified	B	30010	0	0	MORTGAGE	0	11.35040654	0	1
w	debt_consolidation	21.45	303.26	44000	17.43	Source Verified	D	19041	2	0	RENT	1	10.69194491	1	0
w	debt_consolidation	30.94	1503.89	10000	71.19	Not Verified	G	4590	2	0	RENT	1	9.210340372	0	0
w	small_business	10.42	1298.59	100000	34.29	Verified	B	29322	4	0	MORTGAGE	1	11.51292546	1	1
w	debt_consolidation	6.72	147.6	98000	2.61	Not Verified	A	3368	3	0	RENT	0	11.49272276	0	1
w	debt_consolidation	13.59	271.84	50000	11.23	Not Verified	C	6381	0	0	RENT	0	10.81977828	0	0
w	credit_card	7.97	469.84	60000	19.2	Not Verified	A	25011	2	0	MORTGAGE	0	11.00209984	0	1
w	debt_consolidation	10.91	433.96	51885	25.1	Verified	B	22612	2	0	MORTGAGE	0	10.85678501	1	1
w	major_purchase	23.88	1004.45	95000	5.46	Verified	E	12909	2	0	OWN	1	11.46163217	1	0
f	credit_card	11.99	830.24	100000	13.33	Source Verified	B	17879	6	0	MORTGAGE	0	11.51292546	1	1
f	debt_consolidation	11.99	1162.34	150000	17.66	Verified	B	33299	3	0	MORTGAGE	1	11.91839057	1	1
w	debt_consolidation	14.08	279.72	35000	18.37	Source Verified	C	50162	1	1	MORTGAGE	0	10.46310334	1	0
w	debt_consolidation	18.06	635.66	60000	37.32	Not Verified	D	1670	2	0	MORTGAGE	1	11.00209984	0	0
w	debt_consolidation	10.91	490.45	50000	14.26	Not Verified	B	4967	0	0	RENT	1	10.81977828	0	1
w	home_improvement	6.08	213.21	65000	16.38	Not Verified	A	4132	1	0	MORTGAGE	0	11.08214255	0	1
w	credit_card	12.62	402.14	35000	28.33	Source Verified	C	4696	3	0	MORTGAGE	0	10.46310334	1	0
w	debt_consolidation	9.93	206.3	65000	21.57	Not Verified	B	15508	0	1	OWN	0	11.08214255	0	1
w	debt_consolidation	20	652.42	56000	23.85	Verified	D	8138	2	0	RENT	0	10.93310697	1	0
w	debt_consolidation	18.06	361.83	50000	12.11	Source Verified	D	12051	4	1	RENT	0	10.81977828	1	0
w	debt_consolidation	24.85	292.64	69600	11.12	Source Verified	E	2290	1	0	RENT	1	11.15051985	1	0
w	debt_consolidation	28.72	442.01	49858	30.66	Verified	F	6028	5	0	RENT	1	10.81693424	1	0
w	debt_consolidation	18.06	1266.39	75000	25.66	Verified	D	10466	6	0	MORTGAGE	0	11.22524339	1	0
w	debt_consolidation	9.93	742.45	167000	3.82	Source Verified	B	1787	2	2	MORTGAGE	0	12.02574909	1	1
w	home_improvement	11.99	1062.71	60000	32.94	Verified	B	19411	3	0	MORTGAGE	0	11.00209984	1	1
f	small_business	25.82	643.12	80000	0.41	Source Verified	E	504	1	1	MORTGAGE	1	11.28978191	1	0
f	home_improvement	12.62	180.97	82000	12.79	Source Verified	C	8726	7	0	MORTGAGE	1	11.31447453	1	0
w	debt_consolidation	16.02	175.84	50400	11.38	Verified	C	5086	2	0	MORTGAGE	0	10.82774645	1	0
w	debt_consolidation	9.93	45.13	20000	2.88	Source Verified	B	2398	0	0	RENT	0	9.903487553	1	1
w	debt_consolidation	17.09	498.02	50000	15.43	Source Verified	D	16399	0	0	RENT	1	10.81977828	1	0
w	debt_consolidation	13.59	61.17	44000	5.51	Source Verified	C	732	8	0	RENT	0	10.69194491	1	0
w	debt_consolidation	24.85	643.8	60000	38.16	Source Verified	E	18341	8	0	MORTGAGE	1	11.00209984	1	0
w	credit_card	20	371.64	274000	23.09	Not Verified	D	86049	1	1	MORTGAGE	1	12.52088339	0	0
w	debt_consolidation	10.91	222.34	49500	16.07	Not Verified	B	6636	0	0	RENT	1	10.80972795	0	1
f	credit_card	21.45	379.07	275000	37.96	Source Verified	D	82115	1	0	RENT	1	12.52452638	1	0
f	debt_consolidation	17.09	49.98	60000	16.78	Source Verified	D	9923	2	0	RENT	0	11.00209984	1	0
w	debt_consolidation	10.42	146.1	35000	15.57	Source Verified	B	1876	2	0	RENT	1	10.46310334	1	1
w	credit_card	9.93	64.47	50000	34.45	Not Verified	B	3329	6	0	RENT	0	10.81977828	0	1
w	debt_consolidation	28.72	353.61	47000	11.13	Verified	F	197	4	0	MORTGAGE	1	10.75790288	1	0
w	debt_consolidation	9.93	464.18	75000	14.8	Source Verified	B	25068	0	1	OWN	1	11.22524339	1	1
w	credit_card	9.93	80.59	89000	14.71	Source Verified	B	1435	8	0	MORTGAGE	0	11.39639165	1	1
w	debt_consolidation	9.44	447.27	47000	9.65	Not Verified	B	14674	0	0	RENT	0	10.75790288	0	1
w	debt_consolidation	6.72	451.25	494000	8.26	Verified	A	72287	7	0	MORTGAGE	0	13.1102908	1	1
w	debt_consolidation	21.45	546.15	48294	19.04	Verified	D	14949	0	0	OWN	1	10.78506261	1	0
f	credit_card	14.08	342.17	43000	12.57	Source Verified	C	10771	0	0	RENT	0	10.66895539	1	0
f	debt_consolidation	23.88	352.53	35000	34.77	Not Verified	E	18967	0	0	RENT	1	10.46310334	0	0
w	credit_card	10.91	294.27	34000	35.09	Not Verified	B	10238	1	0	RENT	0	10.4341158	0	1
w	debt_consolidation	17.09	395.31	60000	10	Source Verified	D	501	4	0	RENT	1	11.00209984	1	0
w	home_improvement	23.88	286.99	55000	6.57	Not Verified	E	855	9	2	MORTGAGE	1	10.91508846	0	0
